filename,is_mainnet_fork,has_analysis_comment
src/test/2025-01/IdolsNFT_exp.sol,True,True
src/test/2025-01/LAURAToken_exp.sol,True,False
src/test/2025-01/Unilend_exp.sol,True,True
src/test/2025-02/Bybit_exp.sol,True,True
src/test/2025-02/PeapodsFinance_exp.sol,True,True
src/test/2025-03/Alkimiya_io_exp.sol,True,False
src/test/2025-03/LeverageSIR_exp.sol,True,False
src/test/2025-03/OneInchFusionV1SettlementHack.sol_exp.sol,True,True
src/test/2025-03/SBRToken_exp.sol,True,True
src/test/2025-03/UNI_exp.sol,True,True
src/test/2025-04/Laundromat_exp.sol,True,True
src/test/2025-04/Roar_exp.sol,True,True
src/test/2025-05/Corkprotocol_exp.sol,True,True
src/test/2025-05/UsualMoney_exp.sol,True,True
src/test/2025-06/AAVEBoost_exp.sol,True,True
src/test/2025-06/GradientMakerPool_exp.sol,True,True
src/test/2025-06/MetaPool_exp.sol,True,True
src/test/2025-06/ResupplyFi_exp.sol,True,True
src/test/2025-07/SWAPPStaking_exp.sol,True,True
src/test/2025-07/SuperRare_exp.sol,True,True
src/test/2025-07/unverified_54cd_exp.sol,True,True
src/test/2025-08/0xf340_exp.sol,True,True
src/test/2025-08/Hexotic_exp.sol,True,True
src/test/2025-08/SizeCredit_exp.sol,True,True
src/test/2025-08/coinbase_exp.sol,True,True
src/test/2025-10/MIMSpell3_exp.sol,True,True
src/test/2025-11/BalancerV2_exp.sol,True,True
src/test/2025-11/DRLVaultV3_exp.sol,True,True
src/test/2025-12/yETH_exp.sol,True,False
src/test/2026-01/Truebit_exp.sol,True,True
src/test/2026-01/makina_exp.sol,True,False
src/test/IUNMI_db27_exp.sol,True,True
